State,FiscalYear,InflationDenom,CostOfLiving,ExpensiveSchoolEnrollment,StateSupport,FTEnrollment,SupportPerStudent
Alabama,2000,0.68,0.9,1.02,1086326194,166806,6512.512703
Alaska,2000,0.68,1.22,1.02,174974100,15968,10957.79684
Arizona,2000,0.68,0.96,1.05,865598400,180669,4791.073178
Arkansas,2000,0.68,0.89,1.01,606628341,86263,7032.312127
California,2000,0.68,1.09,0.94,7892428000,1433493,5505.731803
Colorado,2000,0.68,1.05,1.07,675692774,141727,4767.56563
Connecticut,2000,0.68,1.2,1.02,675480983,58885,11471.18932
Delaware,2000,0.68,0.99,1.23,174400000,28960,6022.099448
Florida,2000,0.68,0.92,1.02,2594215668,404417,6414.704792
Georgia,2000,0.68,0.93,1.06,1878989551,172909,10866.92741
Hawaii,2000,0.68,1.35,1.07,341986000,32484,10527.82909
Idaho,2000,0.68,0.96,0.97,293850000,38853,7563.122539
Illinois,2000,0.68,1.05,0.96,2329149744,345881,6733.962675
Indiana,2000,0.68,1,1.09,1178919000,187225,6296.803312
Iowa,2000,0.68,0.99,1.08,774428066,103390,7490.357539
Kansas,2000,0.68,1,1.01,643637130,99430,6473.268933
Kentucky,2000,0.68,0.9,1.04,917450500,113568,8078.42438
Louisiana,2000,0.68,0.9,1.03,975076762,170175,5729.847287
Maine,2000,0.68,1.09,0.95,206026652,28910,7126.483985
Maryland,2000,0.68,1,0.98,999702625,167438,5970.583888
Massachusetts,2000,0.68,1.22,0.99,1009800000,118949,8489.35258
Michigan,2000,0.68,1.03,1.06,1988300000,327342,6074.075432
Minnesota,2000,0.68,1.05,1,1288500000,161383,7984.112329
Mississippi,2000,0.68,0.88,0.97,840943000,100634,8356.450106
Missouri,2000,0.68,1,1,941992082,154631,6091.870854
Montana,2000,0.68,0.95,1.14,138132534,33578,4113.780868
Nebraska,2000,0.68,1.01,1.06,467500000,64860,7207.832254
Nevada,2000,0.68,1.01,0.95,306478241,46809,6547.421244
New Hampshire,2000,0.68,1.15,0.97,100700000,28862,3489.0167
New Jersey,2000,0.68,1.19,0.97,1440234427,171563,8394.784581
New Mexico,2000,0.68,0.95,1.01,517077500,67277,7685.79901
New York,2000,0.68,1.15,0.96,2685564020,422431,6357.402795
North Carolina,2000,0.68,0.93,0.98,2177778000,259308,8398.421954
North Dakota,2000,0.68,1,1.12,184255579,30259,6089.281834
Ohio,2000,0.68,1.01,1.04,2054083636,332947,6169.401244
